seed,alpha,gamma,epsilon,n_successes,n_successes_last_10_trials
1,0.3,0.7,0.3,75,4
1,0.3,0.7,0.4,62,6
1,0.3,0.7,0.5,66,6
1,0.3,0.7,0.6,60,7
1,0.3,0.7,0.7,46,5
1,0.3,0.7,0.8,25,1
1,0.3,0.7,0.9,27,3
1,0.3,0.7,1,22,3
1,0.3,0.8,0.1,74,7
1,0.3,0.8,0.2,81,7
1,0.3,0.8,0.3,79,9
1,0.3,0.8,0.4,68,9
1,0.3,0.8,0.5,66,6
1,0.3,0.8,0.6,47,1
1,0.3,0.8,0.7,44,6
1,0.3,0.8,0.8,30,3
1,0.3,0.8,0.9,19,3
1,0.3,0.8,1,15,1
1,0.3,0.9,0.1,74,7
1,0.3,0.9,0.2,77,6
1,0.3,0.9,0.3,68,9
1,0.3,0.9,0.4,67,7
1,0.3,0.9,0.5,54,4
1,0.3,0.9,0.6,48,6
1,0.3,0.9,0.7,38,3
1,0.3,0.9,0.8,27,3
1,0.3,0.9,0.9,34,7
1,0.3,0.9,1,23,2
1,0.3,1,0.1,84,9
1,0.3,1,0.2,83,9
1,0.3,1,0.3,71,4
1,0.3,1,0.4,58,8
1,0.3,1,0.5,49,5
1,0.3,1,0.6,45,6
1,0.3,1,0.7,36,4
1,0.3,1,0.8,41,5
1,0.3,1,0.9,26,2
1,0.3,1,1,17,1
1,0.4,0.1,0.1,89,10
1,0.4,0.1,0.2,92,9
1,0.4,0.1,0.3,84,7
1,0.4,0.1,0.4,83,9
1,0.4,0.1,0.5,74,9
1,0.4,0.1,0.6,57,6
1,0.4,0.1,0.7,44,1
1,0.4,0.1,0.8,39,6
1,0.4,0.1,0.9,22,1
1,0.4,0.1,1,22,0
1,0.4,0.2,0.1,87,10
1,0.4,0.2,0.2,84,10
1,0.4,0.2,0.3,84,10
1,0.4,0.2,0.4,86,10
1,0.4,0.2,0.5,65,6
1,0.4,0.2,0.6,60,6
1,0.4,0.2,0.7,47,7
1,0.4,0.2,0.8,35,3
1,0.4,0.2,0.9,31,2
1,0.4,0.2,1,13,1
1,0.4,0.3,0.1,90,9
1,0.4,0.3,0.2,88,10
1,0.4,0.3,0.3,83,8
1,0.4,0.3,0.4,72,8
1,0.4,0.3,0.5,72,6
1,0.4,0.3,0.6,57,7
